=== GAME DEBUG LOG ===
Configuration: Blue(+0 HP, +0 Ammo, +0 Grenades)
Configuration: Orange(+0 HP, +0 Ammo, +0 Grenades)

T73: B[C(2,2);M(18,6);P(2,6);W0(18,1)hp=55;W1(21,6)hp=100] O[C(45,6);M(37,6);P(45,3);W0(28,6)hp=0*;W1(28,2)hp=70]
T74: B[C(2,2);M(17,6);P(2,6);W0(18,2)hp=55;W1(22,6)hp=100] O[C(45,6);M(36,6);P(45,3);W0(28,6)hp=0*;W1(28,1)hp=55]
T75: B[C(2,2);M(16,6);P(2,6);W0(18,1)hp=40;W1(22,6)hp=100] O[C(45,6);M(35,6);P(45,3);W0(28,6)hp=0*;W1(28,2)hp=55]
T76: B[C(2,2);M(15,6);P(2,6);W0(18,2)hp=40;W1(22,6)hp=85] O[C(45,6);M(34,6);P(45,3);W0(28,6)hp=0*;W1(28,3)hp=40]
T77: B[C(2,2);M(14,6);P(2,6);W0(19,2)hp=40;W1(22,6)hp=70] O[C(45,6);M(33,6);P(45,3);W0(28,6)hp=0*;W1(28,4)hp=25]
T78: B[C(2,2);M(13,6);P(2,6);W0(19,3)hp=40;W1(22,6)hp=70] O[C(45,6);M(32,6);P(45,3);W0(28,6)hp=0*;W1(29,4)hp=25]
T79: B[C(2,2);M(12,6);P(2,6);W0(19,4)hp=40;W1(22,6)hp=70] O[C(45,6);M(31,6);P(45,3);W0(28,6)hp=0*;W1(30,4)hp=25]
T80: B[C(2,2);M(11,6);P(2,6);W0(19,5)hp=40;W1(22,6)hp=70] O[C(45,6);M(30,6);P(45,3);W0(28,6)hp=0*;W1(30,4)hp=25]
T81: B[C(2,2);M(10,6);P(2,6);W0(19,6)hp=40;W1(22,6)hp=70] O[C(45,6);M(29,6);P(45,3);W0(28,6)hp=0*;W1(30,4)hp=25]
T82: B[C(2,2);M(9,6);P(2,6);W0(20,6)hp=40;W1(22,6)hp=50] O[C(45,6);M(29,6);P(45,3);W0(28,6)hp=80;W1(30,4)hp=25]
T83: B[C(2,2);M(8,6);P(2,6);W0(21,6)hp=40;W1(22,6)hp=30] O[C(45,6);M(29,6);P(45,3);W0(28,6)hp=60;W1(30,4)hp=25]
T84: B[C(2,2);M(7,6);P(2,6);W0(22,6)hp=20;W1(22,6)hp=30] O[C(45,6);M(30,6);P(45,3);W0(28,6)hp=20;W1(31,4)hp=25]
T85: B[C(2,2);M(6,6);P(2,6);W0(21,6)hp=20;W1(22,6)hp=30] O[C(45,6);M(31,6);P(45,3);W0(29,6)hp=20;W1(31,4)hp=25]
T86: B[C(2,2);M(6,6);P(2,6);W0(21,6)hp=20;W1(23,6)hp=30] O[C(45,6);M(32,6);P(45,3);W0(30,6)hp=20;W1(31,4)hp=25]
T87: B[C(2,2);M(7,6);P(2,6);W0(21,6)hp=20;W1(24,6)hp=30] O[C(45,6);M(33,6);P(45,3);W0(31,6)hp=20;W1(31,4)hp=25]
T88: B[C(2,2);M(8,6);P(2,6);W0(21,6)hp=20;W1(25,6)hp=30] O[C(45,6);M(34,6);P(45,3);W0(32,6)hp=20;W1(32,4)hp=25]
T89: B[C(2,2);M(9,6);P(2,6);W0(21,6)hp=20;W1(26,6)hp=30] O[C(45,6);M(35,6);P(45,3);W0(33,6)hp=20;W1(33,4)hp=25]
T90: B[C(2,2);M(10,6);P(2,6);W0(21,6)hp=20;W1(27,6)hp=30] O[C(45,6);M(36,6);P(45,3);W0(34,6)hp=20;W1(33,3)hp=25]
T91: B[C(2,2);M(11,6);P(2,6);W0(21,6)hp=20;W1(28,6)hp=30] O[C(45,6);M(37,6);P(45,3);W0(35,6)hp=20;W1(33,2)hp=25]
